case_id,family,feed_height_ft,radiator_end_height_ft,return_kind,return_id,return_length_ft,return_azimuth_deg,coax_length_ft,mast_condition,band,frequency_hz,antenna_resistance_ohm,antenna_reactance_ohm,antenna_raw_swr_50ohm,nec_radiation_efficiency,cache_hit
elevated_tree_feed20_end3_dedicated_angled_21ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,19.5,none,30m,10120000,285.83,-1140.7,96.92809254073362,0.9044,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,19.5,none,20m,14050000,93.044,219.19,12.646398360535876,0.8893000000000001,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,19.5,none,17m,18080000,3474.0,359.53,70.22431962480921,0.9187000000000001,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,19.5,none,15m,21050000,999.53,749.4,31.245908046041578,0.9425,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,19.5,none,12m,24910000,694.61,-869.91,35.72520705095005,0.953,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,19.5,none,10m,28050000,945.81,-1364.1,58.29953588644733,0.9091,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,19.5,none,6m,50100000,288.26,-604.96,31.298822774371487,0.9348000000000001,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az180,21.0,180.0,19.5,none,160m,1850000,8.5831,-2391.1,13328.361192121776,0.7556,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az180,21.0,180.0,19.5,none,80m,3550000,16.398,-1027.8,1291.79302317949,0.7944,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az180,21.0,180.0,19.5,none,60m,5357000,39.565,-355.25,65.83490614219497,0.8502,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az180,21.0,180.0,19.5,none,40m,7050000,143.37,303.8,16.028760487518994,0.8904000000000001,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az180,21.0,180.0,19.5,none,30m,10120000,281.66,-1139.0,97.92015439464834,0.9020999999999999,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az180,21.0,180.0,19.5,none,20m,14050000,97.233,224.93,12.787339428314905,0.8933,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az180,21.0,180.0,19.5,none,17m,18080000,3408.1,290.59,68.65764623011822,0.9197,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az180,21.0,180.0,19.5,none,15m,21050000,1002.9,786.21,32.403770445722174,0.9415,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az180,21.0,180.0,19.5,none,12m,24910000,672.43,-876.25,36.33242960597704,0.9516,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az180,21.0,180.0,19.5,none,10m,28050000,975.37,-1362.7,57.618165793323094,0.9095,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az180,21.0,180.0,19.5,none,6m,50100000,294.71,-601.14,30.554851879235752,0.9362999999999999,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az90,21.0,90.0,19.5,none,160m,1850000,7.8003,-2450.9,15408.308986498307,0.7343000000000001,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az90,21.0,90.0,19.5,none,80m,3550000,14.512,-1061.1,1555.4621577438331,0.7709999999999999,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az90,21.0,90.0,19.5,none,60m,5357000,34.915,-380.4,85.00797990415502,0.8334999999999999,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az90,21.0,90.0,19.5,none,40m,7050000,130.56,281.14,15.03545333855119,0.8828,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az90,21.0,90.0,19.5,none,30m,10120000,296.48,-1143.8,94.34172284795483,0.9104000000000001,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az90,21.0,90.0,19.5,none,20m,14050000,83.512,203.38,12.092242130284808,0.8794,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az90,21.0,90.0,19.5,none,17m,18080000,3629.3,604.63,74.60096135091794,0.9154000000000001,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az90,21.0,90.0,19.5,none,15m,21050000,1025.6,652.44,28.82711452455115,0.9465,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az90,21.0,90.0,19.5,none,12m,24910000,746.75,-843.24,34.016515071833176,0.9556,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az90,21.0,90.0,19.5,none,10m,28050000,863.5,-1388.6,61.972102502660704,0.9077,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az90,21.0,90.0,19.5,none,6m,50100000,285.14,-621.44,32.935373160786725,0.9339,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az135,25.0,135.0,19.5,none,160m,1850000,9.1213,-2098.4,9660.609147611605,0.7548,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az135,25.0,135.0,19.5,none,80m,3550000,17.898,-860.1,829.8036316416137,0.7992,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az135,25.0,135.0,19.5,none,60m,5357000,43.501,-222.61,24.762517052596,0.8552,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az135,25.0,135.0,19.5,none,40m,7050000,155.26,436.65,27.95197265572875,0.8934000000000001,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az135,25.0,135.0,19.5,none,30m,10120000,288.27,-1044.8,81.66164569408137,0.8987999999999999,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az135,25.0,135.0,19.5,none,20m,14050000,173.43,493.95,31.862124246631396,0.9145,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az135,25.0,135.0,19.5,none,17m,18080000,4238.5,-1005.9,89.54512386992243,0.9381999999999999,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az135,25.0,135.0,19.5,none,15m,21050000,508.49,-1180.1,65.02810725922724,0.9521,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az135,25.0,135.0,19.5,none,12m,24910000,182.29,-54.353,3.9938281230444903,0.9053,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az135,25.0,135.0,19.5,none,10m,28050000,1060.1,-1178.2,47.417213602612094,0.9025,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az135,25.0,135.0,19.5,none,6m,50100000,159.91,-14.997,3.2293451505114024,0.8993000000000001,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az180,25.0,180.0,19.5,none,160m,1850000,9.4909,-2079.6,9118.895331626742,0.7636,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az180,25.0,180.0,19.5,none,80m,3550000,18.832,-849.54,769.5110792161191,0.8084,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az180,25.0,180.0,19.5,none,60m,5357000,45.842,-214.7,22.073093497746264,0.8618000000000001,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az180,25.0,180.0,19.5,none,40m,7050000,161.6,442.93,27.785984010849997,0.8969,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az180,25.0,180.0,19.5,none,30m,10120000,280.0,-1040.5,83.09798387083599,0.8946,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az180,25.0,180.0,19.5,none,20m,14050000,185.58,502.39,31.14966743181163,0.9194,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az180,25.0,180.0,19.5,none,17m,18080000,4018.8,-862.6,84.07953777280869,0.9409000000000001,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az180,25.0,180.0,19.5,none,15m,21050000,515.61,-1190.4,65.3599190518798,0.9516,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az180,25.0,180.0,19.5,none,12m,24910000,166.97,-45.44,3.6091029294141976,0.894,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az180,25.0,180.0,19.5,none,10m,28050000,1066.7,-1197.5,48.246923800880374,0.9015000000000001,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az180,25.0,180.0,19.5,none,6m,50100000,156.13,-20.103,3.1801653684077205,0.8944,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az90,25.0,90.0,19.5,none,160m,1850000,8.0967,-2158.7,11517.164304955895,0.727,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az90,25.0,90.0,19.5,none,80m,3550000,15.352,-893.79,1044.2880575270851,0.7692,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az90,25.0,90.0,19.5,none,60m,5357000,37.105,-247.9,35.18580449814576,0.8334,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az90,25.0,90.0,19.5,none,40m,7050000,137.46,415.08,28.14527290668129,0.8826999999999999,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az90,25.0,90.0,19.5,none,30m,10120000,311.72,-1052.3,77.42867659890115,0.9098999999999999,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az90,25.0,90.0,19.5,none,20m,14050000,146.26,466.22,32.95927746972195,0.902,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az90,25.0,90.0,19.5,none,17m,18080000,5174.3,-1415.3,111.22906910807798,0.9264,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az90,25.0,90.0,19.5,none,15m,21050000,472.81,-1164.6,66.91860085959456,0.951,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az90,25.0,90.0,19.5,none,12m,24910000,219.78,-57.037,4.706679475072623,0.9245,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az90,25.0,90.0,19.5,none,10m,28050000,1005.8,-1143.4,46.1405303017928,0.9054000000000001,True
elevated_tree_feed20_end3_dedicated_angled_25ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az90,25.0,90.0,19.5,none,6m,50100000,148.7,-17.244,3.019006727447746,0.8952,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az135,29.0,135.0,19.5,none,160m,1850000,9.7209,-1881.3,7287.152669394617,0.7559999999999999,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az135,29.0,135.0,19.5,none,80m,3550000,19.613,-731.81,549.0529340677255,0.8053,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az135,29.0,135.0,19.5,none,60m,5357000,48.162,-115.22,7.378793436749725,0.8609,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az135,29.0,135.0,19.5,none,40m,7050000,169.69,552.83,39.68435445548278,0.8970999999999999,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az135,29.0,135.0,19.5,none,30m,10120000,296.97,-944.18,66.13075535292113,0.8948,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az135,29.0,135.0,19.5,none,20m,14050000,498.98,1035.2,53.01412762019783,0.9333,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az135,29.0,135.0,19.5,none,17m,18080000,1857.0,-686.34,42.21660984708571,0.914,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az135,29.0,135.0,19.5,none,15m,21050000,176.37,-648.53,51.48565596012026,0.9247,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az135,29.0,135.0,19.5,none,12m,24910000,160.62,300.55,14.703385151264717,0.8831,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az135,29.0,135.0,19.5,none,10m,28050000,1156.4,-1062.1,42.65759123901274,0.8993000000000001,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az135,29.0,135.0,19.5,none,6m,50100000,1818.4,-281.69,37.24138193908889,0.9259999999999999,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az180,29.0,180.0,19.5,none,160m,1850000,10.181,-1862.6,6820.316939639288,0.7663,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az180,29.0,180.0,19.5,none,80m,3550000,20.804,-721.26,502.92898070747907,0.8157,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az180,29.0,180.0,19.5,none,60m,5357000,51.2,-107.39,6.34795813188306,0.8684999999999999,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az180,29.0,180.0,19.5,none,40m,7050000,177.95,558.24,38.838888755395324,0.9012,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az180,29.0,180.0,19.5,none,30m,10120000,285.49,-937.17,67.39853280715849,0.8894,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az180,29.0,180.0,19.5,none,20m,14050000,528.33,1039.1,51.515098801617405,0.9365000000000001,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az180,29.0,180.0,19.5,none,17m,18080000,1918.3,-547.58,41.49410637865184,0.9079,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az180,29.0,180.0,19.5,none,15m,21050000,172.96,-654.93,53.32866585432027,0.9206,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az180,29.0,180.0,19.5,none,12m,24910000,158.77,316.49,16.04573798972629,0.8787,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az180,29.0,180.0,19.5,none,10m,28050000,1124.2,-1082.8,43.363907502677726,0.8963,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az180,29.0,180.0,19.5,none,6m,50100000,1876.9,-266.28,38.294080756122995,0.9251,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az90,29.0,90.0,19.5,none,160m,1850000,8.417,-1943.3,8979.412353618958,0.7214,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az90,29.0,90.0,19.5,none,80m,3550000,16.287,-766.54,724.9311900546804,0.7689,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az90,29.0,90.0,19.5,none,60m,5357000,39.634,-141.13,12.021844508739107,0.8343,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az90,29.0,90.0,19.5,none,40m,7050000,145.58,532.48,42.183807176320464,0.8831,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az90,29.0,90.0,19.5,none,30m,10120000,332.36,-956.74,61.863399512593325,0.9095,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az90,29.0,90.0,19.5,none,20m,14050000,428.78,1003.1,55.6078342832681,0.9257,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az90,29.0,90.0,19.5,none,17m,18080000,1848.2,-1146.8,51.20321080366222,0.9273,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az90,29.0,90.0,19.5,none,15m,21050000,166.04,-635.46,52.24280671770383,0.9258,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az90,29.0,90.0,19.5,none,12m,24910000,180.35,281.62,12.599974588685411,0.9017000000000001,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az90,29.0,90.0,19.5,none,10m,28050000,1182.8,-986.26,40.12090942249395,0.9057999999999999,True
elevated_tree_feed20_end3_dedicated_angled_29ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az90,29.0,90.0,19.5,none,6m,50100000,1785.4,-319.31,36.851009058910414,0.9292,True
elevated_tree_feed20_end3_dedicated_angled_33ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_33ft_az135,33.0,135.0,19.5,none,160m,1850000,10.283,-1716.2,5733.634329315987,0.7564,True
elevated_tree_feed20_end3_dedicated_angled_33ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_33ft_az135,33.0,135.0,19.5,none,80m,3550000,21.295,-630.54,376.17406729601925,0.81,True
elevated_tree_feed20_end3_dedicated_angled_33ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_33ft_az135,33.0,135.0,19.5,none,60m,5357000,53.013,-24.412,1.605330068665387,0.8656,True
elevated_tree_feed20_end3_dedicated_angled_33ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_33ft_az135,33.0,135.0,19.5,none,40m,7050000,185.76,661.25,51.041814346135105,0.9004000000000001,True
elevated_tree_feed20_end3_dedicated_angled_33ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_33ft_az135,33.0,135.0,19.5,none,30m,10120000,316.43,-819.42,48.90519657569502,0.8914,True
elevated_tree_feed20_end3_dedicated_angled_33ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_33ft_az135,33.0,135.0,19.5,none,20m,14050000,3384.9,261.52,68.1021924317842,0.9408,True
elevated_tree_feed20_end3_dedicated_angled_33ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_33ft_az135,33.0,135.0,19.5,none,17m,18080000,2261.2,29.031,45.23145808578491,0.9068,True
elevated_tree_feed20_end3_dedicated_angled_33ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_33ft_az135,33.0,135.0,19.5,none,15m,21050000,133.61,-410.02,28.176174690597936,0.8995000000000001,True
elevated_tree_feed20_end3_dedicated_angled_33ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_33ft_az135,33.0,135.0,19.5,none,12m,24910000,247.36,673.93,41.84775768142823,0.8948999999999999,True
